collision_date,year,mo,NUM_injuries,NUM_deaths
2012-07-03,2012,7,3,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,4,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,5,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,7,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,3,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,6,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,6,0
2012-07-03,2012,7,4,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,4,0
2012-07-03,2012,7,4,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,4,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,3,0
2012-07-03,2012,7,3,0
2012-07-03,2012,7,3,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,3,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,4,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,4,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,3,0
2012-07-04,2012,7,3,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,4,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,4,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,1,0
2012-07-04,2012,7,4,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,2,0
2012-07-04,2012,7,6,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,2,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,2,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,3,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,3,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,2,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,1,0
2012-07-05,2012,7,2,0
2012-07-05,2012,7,2,0
